PYTHON VERSION:
3.6.8 (default, Jan 16 2024, 08:27:02) 
[GCC 8.5.0 20210514 (Red Hat 8.5.0-20)]
k; case; number of internally valid fillings; number of valid boundary constraints; result (block divergence); input number_vertices; input edges; input number_boundary_vertices; input boundary_edges; input block_boundary_edges
2; Type 1.3.1; 15; 27; 0.7272727272727271; 3; [(0, 1), (1, 2), (2, 0)]; 3; []; [(0, 0), (1, 1), (2, 2)]
2; Type 1.4.1; 35; 81; 0.7692307692307692; 4; [(0, 1), (1, 2), (2, 3), (3, 0)]; 4; []; [(0, 0), (1, 1), (2, 2), (3, 3)]
2; Type 1.5.1; 83; 243; 0.790322580645161; 5; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 0)]; 5; []; [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4)]
2; Type 1.6.1; 199; 729; 0.798657718120805; 6; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)]; 6; []; [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)]
2; Type 1.7.1; 479; 2187; 0.8022284122562677; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 7; []; [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)]
2; Type 1.8.1; 1155; 6561; 0.8036951501154732; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 8; []; [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]
2; Type 1.9.1; 2787; 19683; 0.8043062200956932; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 9; []; [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8)]
2; Type 1.10.1; 6727; 59049; 0.8045589692765116; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 10; []; [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9)]
2; Type 1.3.12; 15; 9; 1.3272727272727272; 3; [(0, 1), (1, 2), (2, 0)]; 2; []; [(0, 0), (1, 0), (2, 1)]
2; Type 1.4.12; 35; 27; 1.3846153846153846; 4; [(0, 1), (1, 2), (2, 3), (3, 0)]; 3; []; [(0, 0), (1, 0), (2, 1), (3, 2)]
2; Type 1.4.13; 35; 27; 1.4358974358974361; 4; [(0, 1), (1, 2), (2, 3), (3, 0)]; 3; []; [(0, 0), (2, 0), (1, 1), (3, 2)]
2; Type 1.5.12; 83; 81; 1.415322580645161; 5; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 0)]; 4; []; [(0, 0), (1, 0), (2, 1), (3, 2), (4, 3)]
2; Type 1.5.13; 83; 81; 1.540322580645161; 5; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 0)]; 4; []; [(0, 0), (2, 0), (1, 1), (3, 2), (4, 3)]
2; Type 1.6.12; 199; 243; 1.4268628463259336; 6; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)]; 5; []; [(0, 0), (1, 0), (2, 1), (3, 2), (4, 3), (5, 4)]
2; Type 1.6.13; 199; 243; 1.5747771211058792; 6; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)]; 5; []; [(0, 0), (2, 0), (1, 1), (3, 2), (4, 3), (5, 4)]
2; Type 1.6.14; 199; 243; 1.5520823756550515; 6; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)]; 5; []; [(0, 0), (3, 0), (1, 1), (2, 2), (4, 3), (5, 4)]
2; Type 1.7.12; 479; 729; 1.4318580418858975; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 6; []; [(0, 0), (1, 0), (2, 1), (3, 2), (4, 3), (5, 4), (6, 5)]
2; Type 1.7.13; 479; 729; 1.591048288032665; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 6; []; [(0, 0), (2, 0), (1, 1), (3, 2), (4, 3), (5, 4), (6, 5)]
2; Type 1.7.14; 479; 729; 1.5793712693991253; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 6; []; [(0, 0), (3, 0), (1, 1), (2, 2), (4, 3), (5, 4), (6, 5)]
2; Type 1.8.12; 1155; 2187; 1.433892086658143; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 7; []; [(0, 0), (1, 0), (2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6)]
2; Type 1.8.13; 1155; 2187; 1.5975095831051647; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 7; []; [(0, 0), (2, 0), (1, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6)]
2; Type 1.8.14; 1155; 2187; 1.592293724937326; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 7; []; [(0, 0), (3, 0), (1, 1), (2, 2), (4, 3), (5, 4), (6, 5), (7, 6)]
2; Type 1.8.15; 1155; 2187; 1.5869119333322566; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 7; []; [(0, 0), (4, 0), (1, 1), (2, 2), (3, 3), (5, 4), (6, 5), (7, 6)]
2; Type 1.9.12; 2787; 6561; 1.4347410027043885; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 8; []; [(0, 0), (1, 0), (2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7)]
2; Type 1.9.13; 2787; 6561; 1.6002463910358635; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 8; []; [(0, 0), (2, 0), (1, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7)]
2; Type 1.9.14; 2787; 6561; 1.5974096683715544; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 8; []; [(0, 0), (3, 0), (1, 1), (2, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7)]
2; Type 1.9.15; 2787; 6561; 1.5988798635065464; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 8; []; [(0, 0), (4, 0), (1, 1), (2, 2), (3, 3), (5, 4), (6, 5), (7, 6), (8, 7)]
2; Type 1.10.12; 6727; 19683; 1.4350916024348006; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 9; []; [(0, 0), (1, 0), (2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 8)]
2; Type 1.10.13; 6727; 19683; 1.601371718280495; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 9; []; [(0, 0), (2, 0), (1, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 8)]
2; Type 1.10.14; 6727; 19683; 1.5995773441233876; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 9; []; [(0, 0), (3, 0), (1, 1), (2, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 8)]
2; Type 1.10.15; 6727; 19683; 1.6035943390514316; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 9; []; [(0, 0), (4, 0), (1, 1), (2, 2), (3, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 8)]
2; Type 1.10.16; 6727; 19683; 1.6005016900402342; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 9; []; [(0, 0), (5, 0), (1, 1), (2, 2), (3, 3), (4, 4), (6, 5), (7, 6), (8, 7), (9, 8)]
2; Type 1.3.123; 15; 3; 1.5; 3; [(0, 1), (1, 2), (2, 0)]; 1; []; [(0, 0), (1, 0), (2, 0)]
2; Type 1.4.123; 35; 9; 1.8692307692307693; 4; [(0, 1), (1, 2), (2, 3), (3, 0)]; 2; []; [(0, 0), (1, 0), (2, 0), (3, 1)]
2; Type 1.5.123; 83; 27; 1.9057071960297765; 5; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 0)]; 3; []; [(0, 0), (1, 0), (2, 0), (3, 1), (4, 2)]
2; Type 1.5.124; 83; 27; 2.0511921458625526; 5; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 0)]; 3; []; [(0, 0), (1, 0), (3, 0), (2, 1), (4, 2)]
2; Type 1.6.123; 199; 81; 1.923657718120805; 6; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)]; 4; []; [(0, 0), (1, 0), (2, 0), (3, 1), (4, 2), (5, 3)]
2; Type 1.6.124; 199; 81; 2.150509569972657; 6; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)]; 4; []; [(0, 0), (1, 0), (3, 0), (2, 1), (4, 2), (5, 3)]
2; Type 1.6.135; 199; 81; 2.150509569972657; 6; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)]; 4; []; [(0, 0), (2, 0), (4, 0), (1, 1), (3, 2), (5, 3)]
2; Type 1.7.123; 479; 243; 1.9304335404613964; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 5; []; [(0, 0), (1, 0), (2, 0), (3, 1), (4, 2), (5, 3), (6, 4)]
2; Type 1.7.124; 479; 243; 2.1898253114810746; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 5; []; [(0, 0), (1, 0), (3, 0), (2, 1), (4, 2), (5, 3), (6, 4)]
2; Type 1.7.125; 479; 243; 2.15979570990807; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 5; []; [(0, 0), (1, 0), (4, 0), (2, 1), (3, 2), (5, 3), (6, 4)]
2; Type 1.7.135; 479; 243; 2.235299278398; 7; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 0)]; 5; []; [(0, 0), (2, 0), (4, 0), (1, 1), (3, 2), (5, 3), (6, 4)]
2; Type 1.8.123; 1155; 729; 1.933324779745103; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 6; []; [(0, 0), (1, 0), (2, 0), (3, 1), (4, 2), (5, 3), (6, 4), (7, 5)]
2; Type 1.8.124; 1155; 729; 2.206920956567086; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 6; []; [(0, 0), (1, 0), (3, 0), (2, 1), (4, 2), (5, 3), (6, 4), (7, 5)]
2; Type 1.8.125; 1155; 729; 2.1951171683498387; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 6; []; [(0, 0), (1, 0), (4, 0), (2, 1), (3, 2), (5, 3), (6, 4), (7, 5)]
2; Type 1.8.135; 1155; 729; 2.2642214659049476; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 6; []; [(0, 0), (2, 0), (4, 0), (1, 1), (3, 2), (5, 3), (6, 4), (7, 5)]
2; Type 1.8.136; 1155; 729; 2.315400835734202; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)]; 6; []; [(0, 0), (2, 0), (5, 0), (1, 1), (3, 2), (4, 3), (6, 4), (7, 5)]
2; Type 1.9.123; 2787; 2187; 1.9350135836673203; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 7; []; [(0, 0), (1, 0), (2, 0), (3, 1), (4, 2), (5, 3), (6, 4), (7, 5), (8, 6)]
2; Type 1.9.124; 2787; 2187; 2.2139447743125604; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 7; []; [(0, 0), (1, 0), (3, 0), (2, 1), (4, 2), (5, 3), (6, 4), (7, 5), (8, 6)]
2; Type 1.9.125; 2787; 2187; 2.209698118990154; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 7; []; [(0, 0), (1, 0), (4, 0), (2, 1), (3, 2), (5, 3), (6, 4), (7, 5), (8, 6)]
2; Type 1.9.126; 2787; 2187; 2.2077759118440667; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 7; []; [(0, 0), (1, 0), (5, 0), (2, 1), (3, 2), (4, 3), (6, 4), (7, 5), (8, 6)]
2; Type 1.9.135; 2787; 2187; 2.2776304335019866; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 7; []; [(0, 0), (2, 0), (4, 0), (1, 1), (3, 2), (5, 3), (6, 4), (7, 5), (8, 6)]
2; Type 1.9.136; 2787; 2187; 2.342015717302397; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 7; []; [(0, 0), (2, 0), (5, 0), (1, 1), (3, 2), (4, 3), (6, 4), (7, 5), (8, 6)]
2; Type 1.9.147; 2787; 2187; 2.334910240202275; 9; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 0)]; 7; []; [(0, 0), (3, 0), (6, 0), (1, 1), (2, 2), (4, 3), (5, 4), (7, 5), (8, 6)]
2; Type 1.10.123; 6727; 6561; 1.9364942803428615; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (1, 0), (2, 0), (3, 1), (4, 2), (5, 3), (6, 4), (7, 5), (8, 6), (9, 7)]
2; Type 1.10.124; 6727; 6561; 2.216878614115579; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (1, 0), (3, 0), (2, 1), (4, 2), (5, 3), (6, 4), (7, 5), (8, 6), (9, 7)]
2; Type 1.10.125; 6727; 6561; 2.215780828866899; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (1, 0), (4, 0), (2, 1), (3, 2), (5, 3), (6, 4), (7, 5), (8, 6), (9, 7)]
2; Type 1.10.126; 6727; 6561; 2.2227407874583296; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (1, 0), (5, 0), (2, 1), (3, 2), (4, 3), (6, 4), (7, 5), (8, 6), (9, 7)]
2; Type 1.10.135; 6727; 6561; 2.2829925674603935; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (2, 0), (4, 0), (1, 1), (3, 2), (5, 3), (6, 4), (7, 5), (8, 6), (9, 7)]
2; Type 1.10.136; 6727; 6561; 2.3545008972672203; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (2, 0), (5, 0), (1, 1), (3, 2), (4, 3), (6, 4), (7, 5), (8, 6), (9, 7)]
2; Type 1.10.137; 6727; 6561; 2.3672411850199513; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (2, 0), (6, 0), (1, 1), (3, 2), (4, 3), (5, 4), (7, 5), (8, 6), (9, 7)]
2; Type 1.10.147; 6727; 6561; 2.3632048037233577; 10; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0)]; 8; []; [(0, 0), (3, 0), (6, 0), (1, 1), (2, 2), (4, 3), (5, 4), (7, 5), (8, 6), (9, 7)]
2; Type 2.1; 1393; 59049; 0.7065989847715741; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]; 10; []; [(0, 0), (7, 9), (0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]
2; Type 2.2; 1393; 59049; 0.7823331424222699; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]; 10; []; [(0, 0), (7, 9), (0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]
2; Type 2.3; 1393; 59049; 0.7920463960231992; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]; 10; []; [(0, 0), (7, 9), (0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]
2; Type 2.4; 1393; 59049; 0.7975914775358968; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]; 10; []; [(0, 0), (7, 9), (0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]
2; Type 2.12; 1393; 19683; 1.4124813377127508; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]; 9; []; [(0, 0), (7, 8), (0, 1), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]
2; Type 2.13; 1393; 19683; 1.4117647058823533; 8; [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]; 9; []; [(0, 0), (7, 8), (0, 1), (2, 1), (1, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]
